format=0 tracks=1 division=96

BA    4   CR    3+1/24   TR  0   CH 10   NT  F#-          1/96   von=79
BA    4   CR     3+1/4   TR  0   CH  3   ST &E2 &00 &40
BA    4   CR     3+1/4   TR  0   CH 10   NT  F#-          1/96   von=81
BA    4   CR   3+25/96   TR  0   CH  9   ST &E8 &00 &40
BA    4   CR    3+7/16   TR  0   CH 10   NT  F#-          1/96   von=79
BA    4   CR     3+1/2   TR  0   CH  3   NT  G#          41/96   von=104
BA    4   CR   3+49/96   TR  0   CH  3   NT  B            5/12   von=116
BA    4   CR   3+49/96   TR  0   CH  9   NT  G#          19/48   von=104
BA    4   CR   3+25/48   TR  0   CH  9   NT  B           37/96   von=116
BA    4   CR   3+59/96   TR  0   CH 10   NT  F#-          1/96   von=87
BA    4   CR   3+79/96   TR  0   CH 10   NT  F#-          1/96   von=90
BA    4   CR   3+95/96   TR  0   CH  3   ST &E2 &00 &3B

BA    5   CR         0   TR  0   CH  1   NT  E-        7+17/24   von=92
BA    5   CR         0   TR  0   CH  2   NT  E---      3+31/32   von=111
BA    5   CR         0   TR  0   CH  3   NT  E           23/48   von=116
BA    5   CR         0   TR  0   CH  8   NT  G#-       7+19/48   von=93
BA    5   CR         0   TR  0   CH  9   ST &E8 &00 &3B
BA    5   CR         0   TR  0   CH 10   NT  B---         1/96   von=125
BA    5   CR         0   TR  0   CH 10   NT  C#-          1/96   von=98
BA    5   CR      1/96   TR  0   CH  1   NT  G#-       7+21/32   von=94
BA    5   CR      1/96   TR  0   CH  9   NT  E           43/96   von=116
BA    5   CR      1/48   TR  0   CH  1   NT  B-        7+21/32   von=98
BA    5   CR      1/48   TR  0   CH  8   NT  B-        7+17/48   von=104
BA    5   CR      1/32   TR  0   CH  3   NT  G#          43/96   von=120
BA    5   CR      1/32   TR  0   CH 10   NT  F#-          1/96   von=112
BA    5   CR      1/24   TR  0   CH  8   NT  E         7+11/32
BA    5   CR      1/24   TR  0   CH  9   NT  G#           5/12   von=96
BA    5   CR      5/24   TR  0   CH 10   NT  F#-          1/96
BA    5   CR     23/96   TR  0   CH  3   ST &E2 &00 &40
BA    5   CR       1/4   TR  0   CH  9   ST &E8 &00 &40
BA    5   CR     13/32   TR  0   CH 10   NT  F#-          1/96   von=84
BA    5   CR       1/2   TR  0   CH  3   NT  E           23/48   von=106
BA    5   CR     49/96   TR  0   CH  9   NT  E           43/96
BA    5   CR     17/32   TR  0   CH  3   NT  G#          43/96   von=110
BA    5   CR     13/24   TR  0   CH  9   NT  G#           5/12   von=98
BA    5   CR     59/96   TR  0   CH 10   NT  F#-          1/96   von=87
BA    5   CR     77/96   TR  0   CH 10   NT  F#-          1/96   von=82
BA    5   CR         1   TR  0   CH  3   NT  E            5/12   von=108
BA    5   CR         1   TR  0   CH 10   NT  F#-          1/96   von=84
BA    5   CR    1+1/96   TR  0   CH  9   NT  E           37/96   von=108
BA    5   CR    1+1/32   TR  0   CH  3   NT  G#          37/96   von=111
